Level	Amount	Paid	Business	Abbrev	website
Gold	$50.00 	Yes	Millstone Farm Market	millstone	https://www.facebook.com/pages/Millstone-Farm-Market/534627596716316?nr
Gold	$50.00 	Yes	Mountain View Dance	mvd	http://mountainviewdance.com/
Gold	$50.00 	Yes	Mountain View Healing	mvh	https://www.facebook.com/Mountain-View-Healing-266502843719665/
Gold	$50.00 	Yes	Pekarski's Sausage	pekarskis	https://pekarskis.com/
Gold	$50.00 	No	rk Miles	rkmiles	http://www.rkmiles.com/
Gold	$50.00 	Yes	Sugarloaf Storage	sugarloafstorage	https://www.facebook.com/sugarloafstorage/
Gold	$50.00 	Yes	Sunderland Womans Club	swc	#
Gold	$50.00 	NO	The Spoke/The O's/The Tavern	fabry	https://www.facebook.com/theosmusicbar/?rf=111671328871806
Gold	$50.00 	Yes	Wilcox Builders	wilcox	https://www.facebook.com/Wilcox-Builders-Inc-411447612339811/
Silver	$25.00 	Yes	Atkins Farms	atkins	https://www.atkinsfarms.com/
Silver	$25.00 	Yes	Blue Heron Restaurant	blueheron	http://blueherondining.com/
Silver	$25.00 	Yes	Channing Bete Company	channingbete	http://www.channing-bete.com/
Silver	$25.00 	Yes	Habitat Post and Beam	hpb	http://www.postandbeam.com/
Silver	$25.00 	Yes	Poplar Hill Machine	poplar	http://www.poplarhillmachine.com/wp/
Silver	$25.00 	Yes	Susan's Blue Iris Hair Salon	blueiris	https://www.facebook.com/pages/Susans-Blue-Iris-Hair-Salon/121915454532950
Silver	$25.00 	Yes	The Whately Inn	whatelyinn	http://whatelyinn.com/
Silver	$25.00 	Yes	Zoar Outdoor	zoar	http://www.zoaroutdoor.com/
Gifts			Arizona Pizza	arizona	http://www.arizonapizza.com/
Gifts			Autobahn Indoor Speedway	autobahn	http://www.autobahnspeed.com/locations/hadley-massachusetts-indoor-go-karting/
Gifts			Central Rock Gym	crg	https://centralrockgym.com/hadley/
Gifts			Cinemark	cinemark	https://www.cinemark.com/massachusetts/cinemark-at-hampshire-mall-and-xd
Gifts			Dick's Sporting Goods	dicks	http://stores.dickssportinggoods.com/ma/hadley/176/
Gifts			Richardson's Candy Kitchen	richardsons	http://www.richardsonscandy.com/candy/
Gifts			Sigda Flowers and Gifts	sigda	http://www.sigdaflowers.com/
Gifts			Springfield Thunderbirds	thunderbirds	http://www.springfieldthunderbirds.com/
Gifts			Top Notch Basketball Camp	topnotch	#
Gifts			Target	target	https://www.target.com/sl/hadley-store/1839
